,Player Name,Salary
268.,Boban Marjanovic,"$3,500,000"
268.,Mike Muscala,"$3,500,000"
270.,Cole Anthony,"$3,449,400"
271.,Luka Samanic,"$3,421,709"
272.,Corey Kispert,"$3,383,640"
273.,Georges Niang,"$3,300,000"
273.,Michael Carter-Williams,"$3,300,000"
275.,Isaiah Stewart,"$3,277,080"
275.,Chuma Okeke,"$3,277,080"
277.,Nickeil Alexander-Walker,"$3,261,480"
278.,Alperen Sengun,"$3,214,680"
279.,Facundo Campazzo,"$3,200,000"
280.,Jon Leuer,"$3,169,348"
281.,Trey Burke,"$3,150,000"
282.,Aleksej Pokusevski,"$3,113,160"
283.,Goga Bitadze,"$3,098,400"
284.,Trey Murphy,"$3,053,760"
285.,Sterling Brown,"$3,000,000"
285.,Frank Jackson,"$3,000,000"
287.,Josh Green,"$2,957,520"
288.,Tre Mann,"$2,901,240"
289.,Andrew Nicholson,"$2,844,429"
290.,Matisse Thybulle,"$2,840,160"
291.,Saddiq Bey,"$2,824,320"
292.,Kai Jones,"$2,770,560"
293.,Brandon Clarke,"$2,726,880"
294.,Precious Achiuwa,"$2,711,280"
295.,Marc Gasol,"$2,692,991"
296.,Jalen Johnson,"$2,659,680"
297.,LaMarcus Aldridge,"$2,641,691"
297.,James Johnson,"$2,641,691"
297.,Ed Davis,"$2,641,691"
297.,Andre Iguodala,"$2,641,691"
297.,Enes Kanter,"$2,641,691"
297.,Carmelo Anthony,"$2,641,691"
297.,Trevor Ariza,"$2,641,691"
297.,Avery Bradley,"$2,641,691"
297.,Wayne Ellington,"$2,641,691"
297.,Dwight Howard,"$2,641,691"
297.,Udonis Haslem,"$2,641,691"
297.,Markieff Morris,"$2,641,691"
297.,E'Twaun Moore,"$2,641,691"
297.,Paul Millsap,"$2,641,691"
311.,Grant Williams,"$2,617,800"
312.,Tyrese Maxey,"$2,602,920"
313.,Keon Johnson,"$2,553,240"
314.,Darius Bazley,"$2,513,040"
315.,Trey Lyles,"$2,500,000"
316.,Zeke Nnaji,"$2,498,760"
317.,Isaiah Jackson,"$2,451,240"
318.,Ty Jerome,"$2,412,840"
319.,Andre Drummond,"$2,401,537"
319.,Austin Rivers,"$2,401,537"
319.,Kent Bazemore,"$2,401,537"
319.,Hassan Whiteside,"$2,401,537"
323.,Otto Porter,"$2,389,641"
323.,Victor Oladipo,"$2,389,641"
323.,Tony Snell,"$2,389,641"
323.,Solomon Hill,"$2,389,641"
323.,Ben McLemore,"$2,389,641"
323.,Cody Zeller,"$2,389,641"
329.,Usman Garuba,"$2,353,320"
329.,Leandro Bolmaro,"$2,353,320"
331.,Willy Hernangomez,"$2,327,220"
332.,Edmond Sumner,"$2,320,000"
333.,Nassir Little,"$2,316,240"
334.,RJ Hampton,"$2,303,040"
335.,Josh Christopher,"$2,259,240"
336.,Monta Ellis,"$2,245,400"
337.,Rodney Hood,"$2,239,544"
337.,Elfrid Payton,"$2,239,544"
339.,Dylan Windler,"$2,239,200"
340.,Immanuel Quickley,"$2,210,640"
341.,John Konchar,"$2,200,000"
342.,Quentin Grimes,"$2,168,640"
343.,Jordan Poole,"$2,161,440"
344.,Bol Bol,"$2,161,152"
345.,Keldon Johnson,"$2,145,720"
346.,Payton Pritchard,"$2,137,440"
347.,Jahlil Okafor,"$2,130,023"
348.,Bones Hyland,"$2,096,880"
349.,Nemanja Bjelica,"$2,089,448"
349.,Frank Kaminsky,"$2,089,448"
349.,Raul Neto,"$2,089,448"
352.,Udoka Azubuike,"$2,075,880"
353.,Jaden McDaniels,"$2,063,280"
354.,Malachi Flynn,"$2,048,040"
355.,Cam Thomas,"$2,036,280"
356.,Desmond Bane,"$2,033,160"
357.,Jaden Springer,"$2,023,680"
358.,Day'Ron Sharpe,"$2,009,160"
359.,Jordan McLaughlin,"$2,000,000"
359.,Jeremiah Robinson-Earl,"$2,000,000"
359.,Kenrich Williams,"$2,000,000"
359.,Theo Maledon,"$2,000,000"
359.,Abdel Nader,"$2,000,000"
364.,Santiago Aldama,"$1,994,520"
365.,Damian Jones,"$1,977,011"
366.,Wesley Matthews,"$1,958,495"
367.,Timothe Luwawu,"$1,939,350"
367.,Rodney McGruder,"$1,939,350"
369.,Wesley Iwundu,"$1,926,834"
370.,Damion Lee,"$1,910,860"
370.,PJ Dozier,"$1,910,860"
372.,Tyrell Terry,"$1,869,438"
373.,Larry Sanders,"$1,865,546"
374.,Shake Milton,"$1,846,738"
375.,Jalen Brunson,"$1,802,057"
375.,Mitchell Robinson,"$1,802,057"
377.,Tony Bradley,"$1,789,256"
377.,Frank Ntilikina,"$1,789,256"
377.,Semi Ojeleye,"$1,789,256"
377.,Malik Monk,"$1,789,256"
377.,Dennis Smith,"$1,789,256"
382.,Didi Louzada,"$1,786,878"
383.,Kevin Porter,"$1,782,621"
383.,Jalen McDaniels,"$1,782,621"
383.,Terance Mann,"$1,782,621"
383.,Jaylen Nowell,"$1,782,621"
383.,Naz Reid,"$1,782,621"
